ID,Name,Description
0,h_level,Hydraulic Head [m]
1,t,Temperature [C]
2,t_intern,Internal temperature [C]
3,ec_25,EC25 [mS/cm]
4,ec,EC [mS/cm]
5,v_batt,[V]
6,ph,pH
7,ldo,LDO [mg/L]
8,h,Water Column [m]
9,Rh,River head [m]
